id,relid,year,conflict_name,dyad_name,side_a,side_b,state,lga,latitude,longitude,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_estimate,high_estimate,low_estimate,source_article,source_headline,location_description
235921,CHA-2016-2-455-17,2016,Fulani - Tiv,Fulani - Tiv,Fulani,Tiv,Benue state,Buruku lga,7.47121,9.19473,2016-02-06,2016-02-06,0,0,0,12,12,12,12,"""Nigeria Watch IBD007762,2016-02-06,Fulani Herdsmen Vs Tiv , Benue""","Fulani Herdsmen Vs Tiv , Benue","Tom Anyiin and Tom Ataan communities in Mbaya Tombu village, Bukuru LGA"
218899,NIG-2016-2-12341-1.1,2016,Agatu - Fulani,Agatu - Fulani,Agatu,Fulani,Benue state,Agatu lga,7.8677,8.0949,2016-02-11,2016-02-11,0,0,2,0,2,2,2,"""All Africa,2016-02-15,Again, Gunmen Kill Six in Agatu"";""All Africa,2016-03-21,Special Report - Inside the Agatu Killing Field: Blood On the Streets, Charred Bodies Everywhere""","Again, Gunmen Kill Six in Agatu;Special Report - Inside the Agatu Killing Field: Blood On the Streets, Charred Bodies Everywhere",Okokolo village
218900,NIG-2016-2-12341-1.2,2016,Agatu - Fulani,Agatu - Fulani,Agatu,Fulani,Benue state,Agatu lga,7.955671,7.964322,2016-02-11,2016-02-11,2,0,0,0,2,2,2,"""All Africa,2016-02-15,Again, Gunmen Kill Six in Agatu""","Again, Gunmen Kill Six in Agatu",Ologba Utukolugwu village
218901,NIG-2016-2-12341-1.3,2016,Agatu - Fulani,Agatu - Fulani,Agatu,Fulani,Benue state,Agatu lga,7.966016,7.823497,2016-02-11,2016-02-11,2,0,0,0,2,2,2,"""All Africa,2016-02-15,Again, Gunmen Kill Six in Agatu""","Again, Gunmen Kill Six in Agatu",Oweto village
218914,NIG-2016-2-12341-3.1,2016,Agatu - Fulani,Agatu - Fulani,Agatu,Fulani,Benue state,Agatu lga,7.8677,8.0949,2016-02-20,2016-02-25,17,0,0,0,17,50,17,"""BBC Monitoring Africa,2016-02-26,Suspected Fulani herdsmen reportedly kill 300 people in Nigeria's Benue State"";""All Africa,2016-02-26,House, Mark Condemn Atagu Killings as Death Toll Hits 100""","Suspected Fulani herdsmen reportedly kill 300 people in Nigeria's Benue State;House, Mark Condemn Atagu Killings as Death Toll Hits 100",Okokolo village
218915,NIG-2016-2-12341-3.2,2016,Agatu - Fulani,Agatu - Fulani,Agatu,Fulani,Benue state,Apa lga,7.65321,7.8841,2016-02-20,2016-02-25,17,0,0,0,17,50,17,"""All Africa,2016-02-26,House, Mark Condemn Atagu Killings as Death Toll Hits 100"";""BBC Monitoring Africa,2016-02-26,Suspected Fulani herdsmen reportedly kill 300 people in Nigeria's Benue State""","House, Mark Condemn Atagu Killings as Death Toll Hits 100;Suspected Fulani herdsmen reportedly kill 300 people in Nigeria's Benue State",Ugboku village
218916,NIG-2016-2-12341-3.3,2016,Agatu - Fulani,Agatu - Fulani,Agatu,Fulani,Benue state,Agatu lga,7.87311,8.04485,2016-02-20,2016-02-25,17,0,0,0,17,50,17,"""BBC Monitoring Africa,2016-02-26,Suspected Fulani herdsmen reportedly kill 300 people in Nigeria's Benue State"";""All Africa,2016-02-26,House, Mark Condemn Atagu Killings as Death Toll Hits 100""","Suspected Fulani herdsmen reportedly kill 300 people in Nigeria's Benue State;House, Mark Condemn Atagu Killings as Death Toll Hits 100",Adagbo village
218917,NIG-2016-2-12341-3.4,2016,Agatu - Fulani,Agatu - Fulani,Agatu,Fulani,Benue state,Agatu lga,7.89777,8.1134,2016-02-20,2016-02-25,17,0,0,0,17,50,17,"""All Africa,2016-02-26,House, Mark Condemn Atagu Killings as Death Toll Hits 100"";""BBC Monitoring Africa,2016-02-26,Suspected Fulani herdsmen reportedly kill 300 people in Nigeria's Benue State""","House, Mark Condemn Atagu Killings as Death Toll Hits 100;Suspected Fulani herdsmen reportedly kill 300 people in Nigeria's Benue State",Ocholonya village
218918,NIG-2016-2-12341-3.5,2016,Agatu - Fulani,Agatu - Fulani,Agatu,Fulani,Benue state,Agatu lga,7.86896,8.06156,2016-02-20,2016-02-25,16,0,0,0,16,50,16,"""BBC Monitoring Africa,2016-02-26,Suspected Fulani herdsmen reportedly kill 300 people in Nigeria's Benue State"";""All Africa,2016-02-26,House, Mark Condemn Atagu Killings as Death Toll Hits 100""","Suspected Fulani herdsmen reportedly kill 300 people in Nigeria's Benue State;House, Mark Condemn Atagu Killings as Death Toll Hits 100",Akwu village
218919,NIG-2016-2-12341-3.6,2016,Agatu - Fulani,Agatu - Fulani,Agatu,Fulani,Benue state,Agatu lga,7.872,8.00833,2016-02-20,2016-02-25,16,0,0,0,16,50,16,"""All Africa,2016-02-26,House, Mark Condemn Atagu Killings as Death Toll Hits 100"";""BBC Monitoring Africa,2016-02-26,Suspected Fulani herdsmen reportedly kill 300 people in Nigeria's Benue State""","House, Mark Condemn Atagu Killings as Death Toll Hits 100;Suspected Fulani herdsmen reportedly kill 300 people in Nigeria's Benue State",Aila village
235972,CHA-2016-2-5583-0,2016,Fulani - Tiv,Fulani - Tiv,Fulani,Tiv,Benue state,Buruku lga,7.36534,9.26074,2016-03-04,2016-03-04,0,6,0,0,6,6,6,"""Nigeria Watch IBD008054,2016-03-04,Fulani Herdsmen Killing, Benue""","Fulani Herdsmen Killing, Benue",Buruku
218966,CHA-2016-2-5583-1,2016,Fulani - Tiv,Fulani - Tiv,Fulani,Tiv,Benue state,Logo lga,7.68922,9.25049,2016-03-08,2016-03-08,0,8,0,0,8,8,8,"""ICR,2016-03-12,Massacre in Nigeria"";""BBC Monitoring Africa,2016-03-09,Suspected Fulani herdsmen reportedly kill eight persons in Nigeria's Benue State""",Massacre in Nigeria;Suspected Fulani herdsmen reportedly kill eight persons in Nigeria's Benue State,"Tse Chia, Tse Nhumbe, Deghkia and Ngorukgan, Logo LGA"
235976,CHA-2016-2-455-21,2016,Fulani - Tiv,Fulani - Tiv,Fulani,Tiv,Benue state,Logo lga,7.68922,9.25049,2016-03-10,2016-03-10,0,3,0,0,3,3,3,"""Nigeria Watch IBD007992,2016-03-10,Farmers/ Herders Clash, Benue"";""Scan News,2016-03-11,Again, Fulani herdsmen raid 5 Benue LGs, kill 11""","Farmers/ Herders Clash, Benue;Again, Fulani herdsmen raid 5 Benue LGs, kill 11","Uwev Gov, Gaambe"
